SOF  LON  12-JUL-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type  ,Bus Group ,Account   ,Sub Acc   ,Contract       ,Roll/Delivery Date,    Strike,      Lotsize,Sq,B,           Lots,    Lots Signed,          Price,   Trdate,   Exe,   Tradeno,   Vouchno,Ccy,        Cont Val,       MtM Value,     Orig Comm,     Open Comm,   Comm Posted,  Last Trd,          Close,Frc,Trade Reference     ,Trade Time,Prod Group,HseClt,CltBkr,Exchange,Country Code,LME Trade Type,OTC Y/N,    Deal Number,LME Markup     ,Underlying Code,Underlying Price,Date,UTI                                                 ,TRN                                                 ,Account LEI         ,Broker LEI          ,Comm Ccy,Decimal Trade Price,External Sub Account,Trade Source,Trade Type,Contract Type,CLF,CLF Ccy,EFEE,EFEE Ccy,EXC,EXC Ccy,EXEC,EXEC Ccy,Exchange ID
NT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,S,1,-1,12397.5,12-Jul-19,  LGHF,281684670,          ,EUR,309937.5,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684670                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684670                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12397.5,              ,S           ,N         ,FUT ,,,-0.8,EUR,,,,,FDAX           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,S,1,-1,12397.5,12-Jul-19,  LGHF,281684671,          ,EUR,309937.5,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684671                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684671                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12397.5,              ,S           ,N         ,FUT ,,,-0.8,EUR,,,,,FDAX           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,S,2,-2,12388.5,12-Jul-19,  LGHF,281684673,          ,EUR,619425,0,-2,0,-2,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684673                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684673                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12388.5,              ,S           ,N         ,FUT ,,,-1.6,EUR,,,,,FDAX           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDAX           ,Sep-19,          ,25,  ,S,3,-3,12374.5,12-Jul-19,  LGHF,281684672,          ,EUR,928087.5,0,-3,0,-3,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684672                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684672                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12374.5,              ,S           ,N         ,FUT ,,,-2.4,EUR,,,,,FDAX           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12373,12-Jul-19,  LGHF,281684674,          ,EUR,61865,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684674                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684674                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12373,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12378,12-Jul-19,  LGHF,281684675,          ,EUR,61890,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684675                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684675                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12378,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12380,12-Jul-19,  LGHF,281684676,          ,EUR,61900,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684676                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684676                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12380,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12380,12-Jul-19,  LGHF,281684677,          ,EUR,61900,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684677                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684677                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12380,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,B,1,1,12383,12-Jul-19,  LGHF,281684678,          ,EUR,61915,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684678                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684678                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12383,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
NT    ,          ,LTESTLON  ,LTESTLON  ,FDXM           ,Sep-19,          ,5,  ,S,1,-1,12367,12-Jul-19,  LGHF,281684679,          ,EUR,61835,0,-1,0,-1,20-Sep-19,0,   ,                    ,00:00:00,          ,C     ,C     ,EUREX     ,GIB         ,              ,      ,               ,               ,               ,               ,12-Jul-19,xxxxxxxxxxxxxxxxxxxxxLONx281684679                  ,xxxxxxxxxxxxxxxxxxxxxLONx281684679                  ,xxxxxxxxxxxxxxxxxxxx,213800TUOKZC29M46H06,EUR,12367,              ,S           ,N         ,FUT ,,,-0.25,EUR,,,,,FDXM           
